,watt,Ir,Iy,Ib,Vr,Vy,Vb,PF,distance
305,18,10.15,1.44,6.97,249.9,251.79000000000002,251.95000000000002,0.958,330
306,18,10.129999999999999,1.44,6.96,250.53,252.57,252.79000000000002,0.958,330
307,18,10.14,1.44,6.97,250.5,252.20000000000002,252.33,0.958,330
308,18,10.14,1.44,6.97,250.61,252.21,252.71,0.958,330
309,18,10.209999999999999,1.45,7.02,248.73000000000002,250.64000000000001,250.93,0.959,330
310,18,10.2,1.45,7.01,248.77,250.58,251.12,0.958,330
311,18,10.2,1.45,7.029999999999999,248.13,250.11,250.19,0.959,330
312,18,10.85,1.44,7.029999999999999,248.48000000000002,250.47,250.48000000000002,0.959,330
313,18,10.94,1.45,7.05,246.85,248.63,248.65,0.96,330
314,18,10.89,1.45,7.029999999999999,247.69,249.68,249.8,0.959,330
315,18,10.86,1.44,7.01,248.5,250.34,250.52,0.96,330
316,18,10.89,1.45,7.04,247.20000000000002,249.27,249.51000000000002,0.96,330
317,18,10.87,1.45,7.01,248.19,249.98000000000002,250.3,0.96,330
318,18,10.93,1.46,7.04,246.54000000000002,248.47,248.6,0.961,330
319,18,10.98,1.46,7.06,244.86,246.82,246.9,0.959,330
320,18,10.98,1.46,7.069999999999999,244.25,246.26000000000002,246.71,0.96,330
321,18,11.03,1.47,7.1,243.01000000000002,244.81,245.25,0.96,330
322,18,11.06,1.47,7.12,242.12,244.09,244.46,0.96,330
323,18,11.049999999999999,1.47,7.12,241.99,243.93,244.16,0.961,330
324,18,11.129999999999999,1.48,7.17,240.14000000000001,241.9,242.09,0.96,330
325,18,11.06,1.48,7.1499999999999995,241.8,243.55,243.68,0.96,330
326,18,11.09,1.48,7.1499999999999995,240.64000000000001,242.64000000000001,242.62,0.959,330
327,18,11.129999999999999,1.48,7.16,239.73000000000002,241.89000000000001,241.84,0.96,330
328,18,11.08,1.48,7.14,240.94,243.34,243.29000000000002,0.961,330
